Model,Forecast_Multiplier,Total_Cost,CashOut_Days,Refill_Count,Total_Refilled,Delta_Cost_%,Delta_RefillCount,Delta_TotalRefilled,RefillDays_Jaccard_vs_Base
LSTM,1.08,1250528.492311,0,303,125052849.2311,8.173003322053972,6,9448358.84009999,0.9607843137254902
LSTM,1.081,1251709.541279,0,303,125170954.1279,8.275166219360619,6,9566463.736900002,0.9607843137254902
LSTM,1.082,1252890.5839169999,0,298,125289058.3917,8.377328569110642,1,9684568.000699997,0.9572368421052632
LSTM,1.083,1254071.630124,0,303,125407163.01239999,8.479491227585711,6,9802672.621399984,0.9607843137254902
LSTM,1.084,1255252.67139,0,303,125525267.139,8.581653458655246,6,9920776.747999996,0.9607843137254902
LSTM,1.085,1256433.72114,0,298,125643372.114,8.683816423606295,1,10038881.72299999,0.9572368421052632
LSTM,1.086,1257614.7635400002,0,303,125761476.354,8.785978752768898,6,10156985.963,0.9607843137254902
LSTM,1.087,1258795.81041,0,303,125879581.041,8.888141468594668,6,10275090.649999991,0.9607843137254902
LSTM,1.088,1259976.85615,0,298,125997685.61500001,8.990304086673383,1,10393195.224000007,0.9572368421052632
LSTM,1.089,1261157.89915,0,303,126115789.91499999,9.09246646773707,6,10511299.523999989,0.9607843137254902
LSTM,1.09,1262338.9452199999,0,303,126233894.522,9.194629114361398,6,10629404.130999997,0.9607843137254902
LSTM,1.091,1263519.99029,0,303,126351999.029,9.296791674483895,6,10747508.637999997,0.9607843137254902
LSTM,1.092,1264701.03405,0,298,126470103.405,9.398954121288972,1,10865613.013999999,0.9572368421052632
LSTM,1.093,1265882.07724,0,303,126588207.724,9.501116518788022,6,10983717.333000004,0.948051948051948
LSTM,1.094,1267063.12411,0,303,126706312.41100001,9.603279234613794,6,11101822.02000001,0.948051948051948
LSTM,1.095,1268244.1679500001,0,298,126824416.795,9.705441688339045,1,11219926.404,0.9572368421052632
LSTM,1.096,1269425.21471,0,303,126942521.471,9.807604394649626,6,11338031.079999998,0.948051948051948
LSTM,1.097,1270606.25819,0,303,127060625.819,9.909766817234189,6,11456135.428000003,0.948051948051948
LSTM,1.098,1271787.3051800001,0,298,127178730.51799999,10.011929543440212,1,11574240.12699999,0.9572368421052632
LSTM,1.099,1272968.34751,0,303,127296834.751,10.114091866547659,6,11692344.36,0.948051948051948
LSTM,1.1,1274149.3958426602,0,303,127414939.584266,10.216254708896244,6,11810449.193266004,0.9607843137254902
LinearRegression,0.9,1152933.772893,0,405,115293377.2893,-10.194732053741994,11,-13088153.02170001,0.9583333333333334
LinearRegression,0.901,1154242.589404,0,405,115424258.9404,-10.092784639045382,11,-12957271.3706,0.9583333333333334
LinearRegression,0.902,1155551.404954,0,405,115555140.49540001,-9.990837299203791,11,-12826389.815599993,0.9583333333333334
LinearRegression,0.903,1156860.219176,0,406,115686021.9176,-9.888890062803856,12,-12695508.393399999,0.9559902200488998
LinearRegression,0.904,1158169.0348900002,0,405,115816903.489,-9.786942710187818,11,-12564626.822000012,0.9583333333333334
LinearRegression,0.905,1159477.85003,0,405,115947785.00299999,-9.684995402282281,11,-12433745.308000013,0.9583333333333334
LinearRegression,0.906,1160786.6653800001,0,404,116078666.53799999,-9.583048078019251,10,-12302863.773000017,0.9606879606879607
LinearRegression,0.907,1162095.48061,0,405,116209548.06099999,-9.481100763103367,11,-12171982.250000015,0.9583333333333334
LinearRegression,0.908,1163404.2964599999,0,405,116340429.646,-9.379153399893925,11,-12041100.665000007,0.9583333333333334
LinearRegression,0.909,1164713.11087,0,405,116471311.08699998,-9.277206148850137,11,-11910219.224000022,0.9583333333333334
LinearRegression,0.91,1166021.9270300001,0,405,116602192.703,-9.17525876149391,11,-11779337.60800001,0.9583333333333334
LinearRegression,0.911,1167330.74145,0,405,116733074.145,-9.0733115096712,11,-11648456.166000009,0.9583333333333334
LinearRegression,0.912,1168639.5564899999,0,405,116863955.64899999,-8.971364209554967,11,-11517574.662000015,0.9583333333333334
LinearRegression,0.913,1169948.37212,0,405,116994837.212,-8.869416863481927,11,-11386693.099000007,0.9583333333333334
LinearRegression,0.914,1171257.18757,0,405,117125718.757,-8.767469531429606,11,-11255811.554000005,0.9583333333333334
LinearRegression,0.915,1172566.00311,0,405,117256600.311,-8.665522192366948,11,-11124930.0,0.9583333333333334
LinearRegression,0.916,1173874.81904,0,405,117387481.904,-8.563574822926068,11,-10994048.407000005,0.9583333333333334
LinearRegression,0.917,1175183.63468,0,405,117518363.468,-8.46162747607413,11,-10863166.84300001,0.9583333333333334
LinearRegression,0.918,1176492.44981,0,405,117649244.981,-8.359680168947515,11,-10732285.329999998,0.9583333333333334
LinearRegression,0.919,1177801.2632300002,0,404,117780126.32300001,-8.257732995017609,10,-10601403.98799999,0.9655172413793104
LinearRegression,0.92,1179110.08047,0,404,117911008.047,-8.155785523537162,10,-10470522.263999999,0.9655172413793104
LinearRegression,0.921,1180418.8953200001,0,404,118041889.532,-8.053838238220523,10,-10339640.779,0.9655172413793104
LinearRegression,0.922,1181727.71043,0,404,118172771.04300001,-7.951890932651773,10,-10208759.267999992,0.9655172413793104
LinearRegression,0.923,1183036.52501,0,404,118303652.50099999,-7.849943668366222,10,-10077877.810000017,0.9655172413793104
LinearRegression,0.924,1184345.34105,0,404,118434534.10499999,-7.74799629035714,10,-9946996.206000015,0.9655172413793104
LinearRegression,0.925,1185654.15608,0,404,118565415.60800001,-7.646048991019794,10,-9816114.702999994,0.9655172413793104
LinearRegression,0.926,1186962.9711,0,404,118696297.11,-7.544101692461402,10,-9685233.201000005,0.9655172413793104
LinearRegression,0.927,1188271.78626,0,405,118827178.626,-7.442154382998012,11,-9554351.685000002,0.9679802955665024
LinearRegression,0.928,1189580.6016000002,0,405,118958060.16,-7.340207059513881,11,-9423470.151000008,0.9679802955665024
LinearRegression,0.929,1190889.4172919998,0,404,119088941.7292,-7.238259708611539,10,-9292588.581799999,0.9655172413793104
LinearRegression,0.93,1192198.2321549999,0,404,119219823.2155,-7.136312422282298,10,-9161707.095500007,0.9655172413793104
LinearRegression,0.931,1193507.04794,0,403,119350704.794,-7.0343650641358835,9,-9030825.517000005,0.9679012345679012
LinearRegression,0.932,1194815.862923,0,404,119481586.29229999,-6.9324177684595085,10,-8899944.018700019,0.9655172413793104
LinearRegression,0.933,1196124.6790760001,0,404,119612467.9076,-6.830470381648535,10,-8769062.403400004,0.9655172413793104
LinearRegression,0.934,1197433.49445,0,404,119743349.445,-6.728523055516067,10,-8638180.866000012,0.9655172413793104
LinearRegression,0.935,1198742.30985,0,398,119874230.985,-6.6265757273583965,4,-8507299.326000005,0.98
LinearRegression,0.936,1200051.124527,0,404,120005112.45269999,-6.524628455517245,10,-8376417.858300015,0.9655172413793104
LinearRegression,0.937,1201359.938521,0,404,120135993.85209998,-6.422681236876871,10,-8245536.4589000195,0.9655172413793104
LinearRegression,0.938,1202668.7555900002,0,404,120266875.559,-6.320733778716059,10,-8114654.752000004,0.9655172413793104
LinearRegression,0.939,1203977.57061,0,397,120397757.061,-6.218786480157668,3,-7983773.25,0.9824561403508771
LinearRegression,0.94,1205286.38674,0,397,120528638.674,-6.116839095138237,3,-7852891.637000009,0.9824561403508771
LinearRegression,0.941,1206595.202,0,398,120659520.2,-6.0148917778855555,4,-7722010.111000001,0.98
LinearRegression,0.942,1207904.01693,0,394,120790401.69299999,-5.912944486337524,0,-7591128.618000016,0.9949367088607595
LinearRegression,0.943,1209212.83152,0,394,120921283.152,-5.810997221273029,0,-7460247.159000009,0.9949367088607595
LinearRegression,0.944,1210521.64717,0,395,121052164.71700001,-5.709049873642147,1,-7329365.593999997,0.9924242424242424
LinearRegression,0.945,1211830.46391,0,394,121183046.391,-5.607102441108092,0,-7198483.920000002,0.9949367088607595
LinearRegression,0.946,1213139.2776900001,0,394,121313927.769,-5.505155239136772,0,-7067602.542000011,0.9949367088607595
