ATM,Date,Refill_Amount,Stock,Refilled,Out_of_Cash,Day_Cost,Predicted_Withdrawal
4,2006-05-05,0.0,88987.656,0,0,0.0,97166.57590308484
4,2006-05-06,0.0,41775.907,0,0,0.0,47211.748371781694
4,2006-05-07,0.0,0.0,0,0,0.0,41775.90719407499
5,2006-05-01,468812.58,434053.07,1,0,4688.125800000001,34759.516098026514
5,2006-05-02,0.0,384539.56,0,0,0.0,49513.507472154735
5,2006-05-03,0.0,320700.19,0,0,0.0,63839.37343159871
5,2006-05-04,0.0,234984.61,0,0,0.0,85715.57511490621
5,2006-05-05,0.0,139163.54,0,0,0.0,95821.0657373162
5,2006-05-06,0.0,66363.162,0,0,0.0,72800.38271765335
5,2006-05-07,0.0,0.0,0,0,0.0,66363.16227994146
1,2006-05-08,571545.54,465768.71,1,0,5715.455400000001,105776.83383669924
1,2006-05-09,0.0,351303.13,0,0,0.0,114465.57727753647
1,2006-05-10,0.0,255079.19,0,0,0.0,96223.945995269
1,2006-05-11,0.0,168976.63,0,0,0.0,86102.55441296831
1,2006-05-12,0.0,92703.55,0,0,0.0,76273.08224116448
1,2006-05-13,0.0,49063.811,0,0,0.0,43639.73876700895
1,2006-05-14,0.0,0.0,0,0,0.0,49063.81074281901
2,2006-05-08,597611.39,514454.57,1,0,5976.1139,83156.82182812858
2,2006-05-09,0.0,408476.75,0,0,0.0,105977.81883142875
2,2006-05-10,0.0,304822.3,0,0,0.0,103654.45127666365
2,2006-05-11,0.0,203723.64,0,0,0.0,101098.65521767664
2,2006-05-12,0.0,111083.23,0,0,0.0,92640.4166830113
2,2006-05-13,0.0,58778.089,0,0,0.0,52305.136184692514
2,2006-05-14,0.0,0.0,0,0,0.0,58778.08920132642
3,2006-05-08,185188.74,146738.11,1,0,1851.8873999999998,38450.62926023934
3,2006-05-09,0.0,108890.75,0,0,0.0,37847.35929476744
3,2006-05-10,0.0,74355.606,0,0,0.0,34535.143251794354
3,2006-05-11,0.0,45306.524,0,0,0.0,29049.0816901275
3,2006-05-12,0.0,21269.084,0,0,0.0,24037.439648055064
3,2006-05-13,0.0,16632.471,0,0,0.0,4636.613223461449
3,2006-05-14,0.0,0.0,0,0,0.0,16632.471144437604
