"ATM_ID,""ATM_NUMBER"",""DATE"",""ATM_WITHDRWLS"",""ATM_WITHDRWLS_SCALED"",""DAY_OF_WEEK"",""DAY_IN_MONTH"",""MONTH"",""YEAR"",""ATM_WITHDRWLS_1WEEKAGO"",""ATM_WITHDRWLS_2WEEKAGO"",""AVG_ATM_WITHDRW_PREVMONTH"",""FIRSTWORKDAY"",""LASTWORKDAY"",""IsSaturday"",""IsSunday"",""HOLIDAY"""
"Z0241002,""1"",""07/02/2008"",""129375"",""0.38"",""5"",""7"",""2"",""2008"",""67040"",""185160"",""129125.806"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""07/02/2008"",""90500"",""0.26"",""5"",""7"",""2"",""2008"",""45440"",""117260"",""73826.613"",""0"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""07/02/2008"",""20620"",""0.06"",""5"",""7"",""2"",""2008"",""8970"",""65130"",""34840.968"",""0"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""07/02/2008"",""38395"",""0.11"",""5"",""7"",""2"",""2008"",""39650"",""193320"",""72332.903"",""0"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""07/02/2008"",""43115"",""0.13"",""5"",""7"",""2"",""2008"",""12565"",""79960"",""54478.065"",""0"",""0"",""0"",""0"",""1"""
"Z0241002,""1"",""06/02/2008"",""94845"",""0.28"",""4"",""6"",""2"",""2008"",""77160"",""165880"",""130085.968"",""0"",""0"",""0"",""0"",""1"""
"Z0951001,""2"",""06/02/2008"",""72500"",""0.21"",""4"",""6"",""2"",""2008"",""53130"",""136060"",""74481.129"",""0"",""0"",""0"",""0"",""1"""
"Z1031001,""3"",""06/02/2008"",""16880"",""0.05"",""4"",""6"",""2"",""2008"",""10220"",""49590"",""34987.419"",""0"",""0"",""0"",""0"",""1"""
"Z1119001,""4"",""06/02/2008"",""45020"",""0.13"",""4"",""6"",""2"",""2008"",""25040"",""202585"",""73000.161"",""0"",""0"",""0"",""0"",""1"""
"Z1899001,""5"",""06/02/2008"",""30655"",""0.09"",""4"",""6"",""2"",""2008"",""16320"",""73535"",""55109.516"",""0"",""0"",""0"",""0"",""1"""
